site,location,department,activity,equipment,reporter_role,report_type,narrative
Digboi Refinery Interface,Transfer Manifold,Dispatch Operations,Crude Custody Transfer,Custody Transfer Meter,Dispatch Supervisor,unsafe_condition,"Isolation ball valve on 10-inch crude oil dispatch header was leaking at valve packing gland at 25 drops per minute near storm drain catch basin."
Duliajan Central IT Server Room,Server Hall 2,Information Technology,UPS Battery Replacement,Online 80kVA UPS,IT Infrastructure Eng,near_miss,"Technician dropped steel wrench across exposed 48V DC battery string terminals, producing heavy electrical spark and localized terminal melting."
Tengakhat Production Station,Gas Metering Skid,Instrumentation,Orifice Plate Inspection,Senior Orifice Meter,Instrument Tech,near_miss,"Technician removed orifice plate carrier bolts on gas line without verifying that five-valve differential pressure transmitter manifold was equalized."
Drilling Rig OIL-55,Catwalk & Pipe Racks,Drilling Services,Tubular Rolling,5-inch Drill Pipes,Pipe Racker,near_miss,"Roustabout pulled pipe stop pin before clearing workers from pipe rack ramp. Two joints of 5-inch drill pipe rolled uncontrolled down the ramp."
Duliajan Chemical Storage Yard,Corrosive Chemical Shed,Drilling Materials,Acid Drum Stacking,Hydrochloric Acid 30% IBC,Warehouse Operator,unsafe_condition,"Discovered IBC plastic container containing 30% HCl acid bulging and leaking from bottom drain valve onto gravel floor without secondary containment bund."
Moran Gas Lift Plant,Compressor Station #2,Production Services,Gas Lift Valve Change,Gas Lift Wellhead GL-08,Production Foreman,near_miss,"Crew pulled gas lift mandrel valve with wireline while lubricator bleed valve was closed and 800 psi annular lift pressure remained active."
Drilling Rig OIL-88,Mud Pump House,Drilling Services,Piston Liner Replacement,Triplex Mud Pump #1,Pump Mechanic,near_miss,"Mechanic was working inside mud pump fluid end while drive belts were not locked out. Remote driller console reset button was energized."
Digboi Oil Field,Gathering Station 5,Field Maintenance,Pipeline Welding,Crude Flowline 6-inch,Welder,near_miss,"Welder struck electric welding arc on active crude flowline without obtaining hot work permit or verifying positive pressure crude flow inside pipe."
Duliajan Telecom Tower,Radio Repeater Site,Telecommunications,Microwave Dish Alignment,60-meter Lattice Tower,Telecom Technician,unsafe_act,"Rigger climbed 60-meter telecom tower without safety harness chin strap fastened and carried loose tools in open pocket rather than secured tool bag."
Naharkatiya Camp,Mess Hall Kitchen,Camp Administration,Cooking Gas Supply,Commercial LPG Cylinders,Catering Supervisor,unsafe_condition,"Four commercial 19kg LPG cylinders in camp kitchen were connected with degraded domestic rubber hose instead of high-pressure braided copper tubing."
Drilling Rig OIL-22,Rig Floor,Drilling Services,Tripping Drill String,Rotary Table Bushing,Floorman,near_miss,"Floorman placed foot onto rotating master bushing to kick slip handles while rotary table was turning at 40 RPM."
Duliajan Logistics Yard,Cranes & Rigging Bay,Heavy Transport,Boom Crane Inspection,50-Ton Mobile Hydraulic Crane,Crane Inspector,unsafe_condition,"Found boom hoist wire rope had three broken strands and crushed core on primary winch drum during pre-dispatch annual statutory examination."
Bhogpara Field,Well BP-18,Production Services,Flowline Purging,Nitrogen Pumping Unit,Service Contractor,near_miss,"Contractor nitrogen pumping truck hose was connected to wellhead flowline without certified hammer union check valve or pressure relief valve installed."
Duliajan Field Workshop,Machine Shop,Mechanical Services,Lathe Machining,Heavy Duty Lathe Machine,Machinist,unsafe_act,"Machinist operated lathe turning a 3-inch steel shaft while wearing long loose sleeve shirt and cotton work gloves near rotating chuck spindle."
Drilling Rig OIL-90,Derrick Monkey Board,Drilling Services,Latching Drill Pipe,Monkey Board Fingerboard,Derrickman,near_miss,"Derrickman unlatched 90-foot drill pipe stand which kicked violently out of fingerboard due to wind gust; derrickman safety harness lanyard prevented fall."
Moran Crude Dispatch Station,Boiler House,Thermal Operations,Steam Boiler Start-up,Package Steam Boiler B-101,Boiler Attendant,near_miss,"Boiler attendant attempted to light boiler burner with manual torch after repeated flame failures without performing mandatory 5-minute furnace purge cycle."
Tinsukia Delivery Point,Road Tanker Gantry,Marketing & Dispatch,Crude Oil Road Loading,Bottom Loading Arm,Gantry Operator,unsafe_act,"Road tanker driver started engine and attempted to drive away from loading island while vapor recovery hose was still securely bolted to tanker dome."
Drilling Rig OIL-04,Rig Camp Area,Administration,Generator Fueling,Fuel Tank Skid,Camp Electrician,unsafe_condition,"Diesel transfer pump ground earthing wire was broken and disconnected from grounding rod while diesel was being pumped into generator service tank."
Duliajan Gas Plant,Cooling Tower #2,Utility Engineering,Fan Blade Replacement,Induced Draft Cooling Fan,Utility Tech,unsafe_act,"Contractor stepped directly onto fiberglass fan shroud cowling without crawl boards; cowling cracked under foot, worker caught handrail to prevent fall."
Drilling Rig OIL-71,Choke Manifold Skid,Well Control,Well Kick Simulation,Hydraulic Choke Console,Toolpusher,near_miss,"During well control drill, remote hydraulic choke valve failed to respond to control console lever because hydraulic accumulator pressure was depleted to zero."
Naharkatiya OCS #1,Separator Platform,Mechanical Maintenance,Level Gauge Glass Service,High Pressure Separator,Instrument Tech,near_miss,"Technician tightened armored level gauge glass bolts under full 450 psi operating gas pressure instead of depressuring and isolating gauge column."
Duliajan Central Chemical Lab,Analytical Testing Lab,Quality Control,Crude Distillation Test,Atmospheric Distillation Unit,Chemist,near_miss,"Chemist was heating 200ml volatile crude sample on open electric hotplate instead of water bath inside certified fume cupboard; vapor flashed momentarily."
Drilling Rig OIL-35,Doghouse,Drilling Services,Log Book Entry,Doghouse Office,Driller,near_miss,"Driller slipped on wet oily steel grating outside doghouse door due to mud splatter from rotary table; no anti-skid coating was present on entrance step."
Jorajan Field,Water Injection Station,Reservoir Operations,High Pressure Pump Overhaul,Quintuplex Water Injection Pump,Pump Tech,unsafe_condition,"High pressure discharge manifold pulsation dampener was charged with compressed air instead of inert dry nitrogen, creating diesel explosion hazard."
Duliajan Security Gate #1,Main Perimeter,Security & Surveillance,Vehicle Inspection,Hydraulic Under-Vehicle Barrier,Security Guard,near_miss,"Security guard inadvertently pressed emergency barrier raise button while OIL staff light vehicle was transiting over flush road plate."
